ACCOUNT_RK;INTERNAL_ORG_ORIGINAL_RK;LOAN_AMOUNT;APPLICATION_DT
31257794;48937;15000.00;2017-03-13 00:00:00
-61482673;48937;15000.00;2017-03-13 00:00:00
-61482592;48937;15000.00;2017-03-13 00:00:00
-60445922;5117;40853.66;2017-02-03 00:00:00
-60445693;5117;40001.00;2017-02-03 00:00:00
31179775;50072;0.10;2017-03-07 00:00:00
-61411179;50072;40000.00;2017-03-07 00:00:00
31179710;50072;39203.41;2017-03-07 00:00:00
-60400999;49590;133792.71;2017-01-31 00:00:00
-60400951;49590;100000.00;2017-01-31 00:00:00
-60289816;51857;100000.00;2017-01-20 00:00:00
-60207570;13154;150000.00;2017-01-13 00:00:00
-60207549;13154;15000.00;2017-01-13 00:00:00
-61501734;30833;70000.00;2017-03-15 00:00:00
-60450223;4277;30200.00;2017-02-04 00:00:00
-60341852;14913;100000.00;2017-01-25 00:00:00
-60341647;14913;130000.00;2017-01-25 00:00:00
-61424081;22456;30000.00;2017-03-07 00:00:00
31183953;22456;15000.00;2017-03-07 00:00:00
-61424134;22456;15000.00;2017-03-07 00:00:00
-60477087;57854;191990.00;2017-02-07 00:00:00
-61277998;49548;78000.00;2017-02-24 00:00:00
-61278127;49548;78763.97;2017-02-24 00:00:00
-61629776;18966;68000.00;2017-03-24 00:00:00
-61630216;18966;68087.74;2017-03-24 00:00:00
-61622112;34908;300000.00;2017-03-23 00:00:00
31392036;50899;4999.00;2017-03-21 00:00:00
31392136;50899;0.10;2017-03-21 00:00:00
-61477598;15767;106172.17;2017-03-13 00:00:00
-61476590;15767;105000.00;2017-03-13 00:00:00
-60481540;52747;140000.00;2017-02-07 00:00:00
-60480426;52747;140000.00;2017-02-07 00:00:00
30979229;50787;0.10;2017-02-15 00:00:00
-61084983;-1;563000.00;2017-01-10 00:00:00
30979202;50787;9999.00;2017-02-15 00:00:00
-61177503;50787;300000.00;2017-02-15 00:00:00
-61483361;49223;700000.00;2017-03-13 00:00:00
-61535469;51179;200000.00;2017-03-17 00:00:00
-60262994;75;6000.00;2017-01-18 00:00:00
30136052;75;4999.00;2017-01-18 00:00:00
-61397605;19660;40000.00;2017-03-06 00:00:00
31179953;19660;40000.00;2017-03-07 00:00:00
30106680;15044;4999.00;2017-01-16 00:00:00
30106724;15044;0.10;2017-01-16 00:00:00
-60232091;15044;62000.00;2017-01-16 00:00:00
-61611913;16133;40000.00;2017-03-23 00:00:00
31376494;16133;39998.89;2017-03-23 00:00:00
-60182728;22464;41410.59;2017-01-11 00:00:00
-60182629;13780;42000.00;2017-01-11 00:00:00
-61152245;22456;60000.00;2017-02-13 00:00:00
-60164685;52098;200000.00;2017-01-09 00:00:00
-60380321;34875;299999.00;2017-01-28 00:00:00
30269875;34875;0.10;2017-01-28 00:00:00
30269855;34875;4999.00;2017-01-28 00:00:00
-60367455;34706;35528.24;2017-01-27 00:00:00
-60367285;34706;36000.00;2017-01-27 00:00:00
-61547555;49758;328403.19;2017-03-18 00:00:00
-60380665;49758;330000.00;2017-01-28 00:00:00
-61620548;50326;20000.00;2017-03-23 00:00:00
31378758;50326;20000.00;2017-03-23 00:00:00
31378805;50326;15000.00;2017-03-23 00:00:00
-61489268;58178;5000.00;2017-03-14 00:00:00
31259769;58178;4999.00;2017-03-14 00:00:00
31259869;58178;0.10;2017-03-14 00:00:00
31182584;49620;0.10;2017-03-07 00:00:00
-61476574;52878;56500.00;2017-03-13 00:00:00
-60434305;22804;10000.00;2017-02-02 00:00:00
30320166;22804;10000.00;2017-02-02 00:00:00
-60434131;22804;10000.00;2017-02-02 00:00:00
-61167071;46792;163566.58;2017-02-15 00:00:00
-61167045;46792;164000.00;2017-02-15 00:00:00
-60402752;52183;190000.00;2017-01-31 00:00:00
-60402854;52183;192716.69;2017-01-31 00:00:00
-61492879;51011;592000.00;2017-03-14 00:00:00
-60286346;13510;150000.00;2017-01-20 00:00:00
-60447044;46500;27000.00;2017-02-03 00:00:00
-61093136;-1;429316.99;2017-01-18 00:00:00
-61093057;-1;532851.77;2017-01-18 00:00:00
-60221357;5078;100051.89;2017-01-14 00:00:00
-60221124;5078;101000.00;2017-01-14 00:00:00
-61378093;51859;750000.00;2017-03-04 00:00:00
-61178967;54649;844400.00;2017-02-14 00:00:00
-61179279;54649;846220.79;2017-02-14 00:00:00
-60433776;34881;180000.00;2017-02-02 00:00:00
-60354523;57819;200000.00;2017-01-26 00:00:00
31181736;52682;38294.32;2017-03-07 00:00:00
-61417226;52682;39999.00;2017-03-07 00:00:00
-61417058;34875;15000.00;2017-03-07 00:00:00
31181622;34875;15000.00;2017-03-07 00:00:00
-61362334;58037;244313.70;2017-03-03 00:00:00
-61369800;58037;251577.13;2017-03-03 00:00:00
-61366758;58037;251577.13;2017-03-03 00:00:00
-61362062;58037;200000.00;2017-03-03 00:00:00
-61474827;14112;113356.84;2017-03-13 00:00:00
-61474544;14112;50000.00;2017-03-13 00:00:00
-61412510;34173;160000.00;2017-03-07 00:00:00
-61412667;34173;164194.72;2017-03-07 00:00:00
31219127;34352;78032.20;2017-03-10 00:00:00
-61442337;34352;79000.00;2017-03-10 00:00:00
31288779;34352;15000.00;2017-03-10 00:00:00
31219611;50472;40000.00;2017-03-10 00:00:00
-61444517;50472;40000.00;2017-03-10 00:00:00
31289487;50472;0.10;2017-03-10 00:00:00
-61144603;36673;250000.00;2017-02-13 00:00:00
31022109;36673;200000.00;2017-02-14 00:00:00
31022126;13491;0.10;2017-02-19 00:00:00
-61153323;36673;239698.79;2017-02-13 00:00:00
31096799;4138;4999.00;2017-02-27 00:00:00
31096875;4138;0.10;2017-02-27 00:00:00
-61270930;4214;104000.00;2017-02-23 00:00:00
-61479904;50453;15000.00;2017-03-13 00:00:00
31257456;50453;15000.00;2017-03-13 00:00:00
31335168;13757;0.10;2017-03-20 00:00:00
-61562890;13757;65000.00;2017-03-20 00:00:00
31335105;13757;64500.00;2017-03-20 00:00:00
31256028;15527;0.10;2017-03-13 00:00:00
31255785;15527;40000.00;2017-03-13 00:00:00
-61475081;15527;40000.00;2017-03-13 00:00:00
-61380627;34876;15000.00;2017-03-04 00:00:00
-60378028;123;70803.85;2017-01-28 00:00:00
-60377928;123;60000.00;2017-01-28 00:00:00
-60339919;22817;0.10;2017-01-25 00:00:00
30231546;22817;300000.00;2017-01-24 00:00:00
30232972;22817;20000.00;2017-01-25 00:00:00
-61346024;30803;100000.00;2017-03-02 00:00:00
-61346136;30803;100000.00;2017-03-02 00:00:00
-60704996;49531;690334.13;2017-02-08 00:00:00
-60704819;49531;941176.47;2017-02-08 00:00:00
-60450055;761;40000.00;2017-02-04 00:00:00
-60450062;761;40001.22;2017-02-04 00:00:00
-61478829;22149;40000.00;2017-03-13 00:00:00
31256458;22149;40000.00;2017-03-13 00:00:00
